"EVENT_ID","SITE_ID","COLL_DATE","CREW","TEMP","PERCENT_SAT","DO","COND","SALINITY","PH","Chl_ugL","Chl_RFU","PC_ugL","PC_RFU","WATER_CHEM_COLLECT","CHEM_SAMP_LOC","EQUIP_USED","LANDUSE","W_DEPTH","W_WIDTH","CUR_SPD","CANOPY","ALGAE_D","ALGAE_S","ALGAE_FIL","BOTTOM_TYPE","DOM_SUBSTRATE","Project_name","SiteID","sys_sample_code","SDG","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date","sample_date2","Project"
"13-BRCH_T4-0.9_2019-07-30","13-BRCH_T4-0.9",2019-07-30,"Duffy,Lemley,Stoll,Rizzo","16","90.6","8.95","165","0.08","7.25",0.66,"0.19","0","0","X","Waded","Bottle","Forest","0.1","2","40","90","10","N","X",NA,NA,"Chlorophyll pull 2020-02-25","13-BRCH_T4-0.9","13-BRCH_T4-0.9-07302019-W","R1907170","Chlorophyll A",2019-07-30 11:45:00,"479-61-8","T",0.082,"ug/l",NA,"ug/l",0.04,NA,"R","Equipment Blank error",2020-02-25,2019-07-30,"Birch Cr RAS"
"13-BRCH-2.7_2019-07-30","13-BRCH-2.7",2019-07-30,"Duffy,Lemley,Rizzo,Stoll","16.1","95.1","9.36","164.7","0.08","7.22",0.16,"0.06","0","0","X","Waded","Bottle","Residential","0.75","4","55","80","0","N","X",NA,NA,"Chlorophyll pull 2020-02-25","13-BRCH-2.7","13-BRCH-2.7-07302019-W","R1907170","Chlorophyll A",2019-07-30 10:45:00,"479-61-8","T",0.378,"ug/l",NA,"ug/l",0.039,NA,"J","estimated value due to Equipment Blank error",2020-02-25,2019-07-30,"Birch Cr RAS"
"13-BRCH-2.3_2019-07-30","13-BRCH-2.3",2019-07-30,"Duffy,Lemley,Rizzo,Stoll","17.8","97.7","9.28","165.6","0.08","7.53",0.03,"0","0","0","X","Waded","Bottle","Forest","0.25","5","50","60","0","X","X",NA,NA,"Chlorophyll pull 2020-02-25","13-BRCH-2.3","13-BRCH-2.3-07302019-W","R1907170","Chlorophyll A",2019-07-30 10:05:00,"479-61-8","T",0.663,"ug/l",NA,"ug/l",0.042,NA,"A",NA,2020-02-25,2019-07-30,"Birch Cr RAS"
"13-BRCH_T3-0.2_2019-07-30","13-BRCH_T3-0.2",2019-07-30,"Duffy,Lemley,Rizzo,Stoll","12.7","90.9","9.64","32.1","0.01","6.97",0.05,"0","0","0","X","Waded","Bottle","Forest","0.1","1.5","30","90","10","N","N",NA,NA,"Chlorophyll pull 2020-02-25","13-BRCH_T3-0.2","13-BRCH_T3-0.2-07302019-W","R1907170","Chlorophyll A",2019-07-30 12:40:00,"479-61-8","T",0.964,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-07-30,"Birch Cr RAS"
"14-WILB-0.2_2019-08-20","14-WILB-0.2",2019-08-20,"Lojpersberger,Stoll","18","101.6","9.61","298.7","0.14","7.67",0.16,"0.03","0","0","X","Waded","Bottle","Residential","0.1","4","40","90","30","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-WILB-0.2","14-WILB-0.2-08202019-W","R1907960","Chlorophyll A",2019-08-20 10:15:00,"479-61-8","T",0.594,"ug/l",NA,"ug/l",0.039,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-DELA-1.2_2019-08-20","14-DELA-1.2",2019-08-20,"Lemley,Schnore","25.2","110.3","9.07","97","0.04","7.95",1.3,"0.37","0.05","0.09","X","Waded","Bottle","Commercial","1","100","42","0","30","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-DELA-1.2","14-DELA-1.2-08202019-W","R1907962","Chlorophyll A",2019-08-20 11:15:00,"479-61-8","T",0.64,"ug/l",NA,"ug/l",0.039,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-NEVR-0.5_2019-08-20","14-NEVR-0.5",2019-08-20,"Lemley,Schnore","23.1","83.4","7.14","120","0.06","7.33",1.06,"0.33","-0.01","0.03","X","Waded","Bottle","Residential","1.2","14","62","50","80","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-NEVR-0.5","14-NEVR-0.5-08202019-W","R1907962","Chlorophyll A",2019-08-20 10:30:00,"479-61-8","T",0.515,"ug/l",NA,"ug/l",0.04,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-HAFY_T8-0.8_2019-08-20","14-HAFY_T8-0.8",2019-08-20,"Schnore,Lemley","20.9","95.1","8.49","125.1","0.06","7.34",2.59,"0.69","0.11","0.15","X","Waded","Bottle","Forest","0.03","0.7","28","100","50","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-HAFY_T8-0.8","14-HAFY_T8-0.8-08202019-W","R1907962","Chlorophyll A",2019-08-20 14:00:00,"479-61-8","T",0.337,"ug/l",NA,"ug/l",0.04,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-MONG-0.1_2019-08-20","14-MONG-0.1",2019-08-20,"Schnore,Lemley","21.3","101.8","9.01","125","0.06","7.41",1.95,"0.53","0.12","0.16","X","Waded","Bottle","Forest","0.3","12","45","60","60","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-MONG-0.1","14-MONG-0.1-08202019-W","R1907962","Chlorophyll A",2019-08-20 12:00:00,"479-61-8","T",1.25,"ug/l",NA,"ug/l",0.044,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-MONG_W-0.2_2019-08-20","14-MONG_W-0.2",2019-08-20,"Schnore,Lemley","23.2","104.5","8.93","145.5","0.07","7.53",2,"0.55","0.15","0.18","X","Waded","Bottle","Forest","0.15","6","28","20","10","N",NA,NA,NA,"Chlorophyll pull 2020-02-25","14-MONG_W-0.2","14-MONG_W-0.2-08202019-W","R1907962","Chlorophyll A",2019-08-20 16:30:00,"479-61-8","T",5.25,"ug/l",NA,"ug/l",0.16,NA,"A",NA,2020-02-25,2019-08-20,"Screening - Delaware"
