"SITE_ID","SH_LATITUDE","SH_LONGITUDE","Project"
"13-BRCH_T4-0.9","42.138500","-74.492090","Birch Cr RAS"
"13-BRCH-2.7","42.130000","-74.475830","Birch Cr RAS"
"13-BRCH-2.3","42.126110","-74.471400","Birch Cr RAS"
"13-BRCH_T3-0.2","42.123970","-74.473250","Birch Cr RAS"
"14-WILB-0.2","41.572375","-74.477288","Screening - Delaware"
"14-DELA-1.2","41.372220","-74.697220","Screening - Delaware"
"14-NEVR-0.5","41.360330","-74.687620","Screening - Delaware"
"14-HAFY_T8-0.8","41.539750","-74.885350","Screening - Delaware"
"14-MONG-0.1","41.426670","-74.756110","Screening - Delaware"
"14-MONG_W-0.2","41.681110","-74.775000","Screening - Delaware"
"14-WLAK-5.8","41.674700","-74.819600","Screening - Delaware"
"14-BEBR-8.2","41.571860","-74.910860","Screening - Delaware"
"14-HAFY_T8-0.1","41.529982","-74.883949","Screening - Delaware"
"14-MONG_E-0.2","41.707500","-74.730540","Screening - Delaware"
"14-MONG_M-0.3","41.707610","-74.740780","Screening - Delaware"
"14-LEBA-0.6","41.566455","-74.795962","Screening - Delaware"
"14-NEVR-14.6","41.504440","-74.647780","Screening - Delaware"
"14-NEVR_T20-0.3","41.491900","-74.621700","Screening - Delaware"
"14-BSHR-3.7","41.485900","-74.573820","Screening - Delaware"
"14-BRIS-2.0","41.770560","-74.904710","Screening - Delaware"
"14-CALL_E-0.4","41.756688","-75.027144","Screening - Delaware"
"14-CALL_E-0.2","41.758450","-75.029300","Screening - Delaware"
"14-CALL_N-0.6","41.767805","-75.028513","Screening - Delaware"
"14-DELA-50.4","41.765200","-75.060350","Screening - Delaware"
"14-CALL-0.2","41.764440","-75.055560","Screening - Delaware"
"14-DELA-45.2","41.705000","-75.066940","Screening - Delaware"
"14-TENR-3.7","41.599270","-75.012365","Screening - Delaware"
"14-DELA-31.2","41.554420","-75.020140","Screening - Delaware"
"14-BASS-0.2","42.390211","-74.647502","Screening - Delaware"
"14-TOWN_T11-0.2","42.354719","-74.601596","Screening - Delaware"
"14-EDEL-55.3","42.161110","-74.620830","Screening - Delaware"
"14-DRBR-2.1","42.140737","-74.603759","Screening - Delaware"
"14-SPRB-0.5","41.967600","-74.898810","Screening - Delaware"
"14-BEAV-18.5","41.966110","-74.892500","Screening - Delaware"
"14-BEEB-3.5","42.119651","-75.108847","Screening - Delaware"
"14-WDEL-35.4","42.128610","-75.160540","Screening - Delaware"
"14-FSED-0.1","41.964720","-75.178890","Screening - Delaware"
"14-WDEL-1.3","41.952500","-75.291660","Screening - Delaware"
"14-EDEL-1.2","41.952780","-75.275280","Screening - Delaware"
"14-DELA-65.9","41.865244","-75.180279","Screening - Delaware"
"14-DELA-59.2","41.823440","-75.113620","Screening - Delaware"
"14-BASK_N-1.7","41.881163","-75.091213","Screening - Delaware"
"14-PINE-4.4","41.548032","-74.571160","Screening - Delaware"
"07-OWLI-3.0","42.716670","-76.437730","Finger Lakes Adv Mon"
"07-OWAL_T9-0.1","42.805000","-76.491000","Finger Lakes Adv Mon"
"07-SCKR-0.1","42.902000","-76.527000","Finger Lakes Adv Mon"
"07-DUCH-0.3","42.864000","-76.508000","Finger Lakes Adv Mon"
"07-VENE-1.5","42.880164","-76.562320","Finger Lakes Adv Mon"
