"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Chlorophyll A",2019-11-04 09:30:00,"479-61-8","T",0.507,"ug/l",NA,"ug/l",0.042,"","A","",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Nitrate+Nitrite as Nitrogen",2019-11-04 09:30:00,"NO3NO2N","T",0.891,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Nitrogen",2019-11-04 09:30:00,"7727-37-9","T",0.89,"mg/l",NA,"mg/l",0.1,"","A","",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Nitrogen, ammonia (As N)",2019-11-04 09:30:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-04 09:30:00,"KN","T",NA,"mg/l",0.1,"mg/l",0.1,"U","R","Analyte was analyzed for but not detected ; Precision error",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","NITROGEN, NITRATE (AS N)",2019-11-04 09:30:00,"14797-55-8","T",0.891,"mg/l",NA,"mg/l",0.01,"","A","",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","NITROGEN, NITRITE",2019-11-04 09:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-04 09:30:00,"PDORTHO","D",0.0135,"mg/l",0.0049,"mg/l",0.005,"","A","",2020-02-18
"Chlorophyll pull 2020-02-18","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-04 09:30:00,"7723-14-0","T",0.0208,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-02-18
"Chlorophyll pull 2020-02-18","04-ANGL-1.1","04-ANGL-1.1-072519-W","ALKALINITY, TOTAL (AS CaCO3)",2019-07-25 12:30:00,"ALK","T",77.6,"mg/l",1.8,"mg/l",2,"","A","",2020-02-18
