"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Chlorophyll A",2019-11-04 09:30:00,"479-61-8","T",0.507,"ug/l",NA,"ug/l",0.042,"","A",""
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Nitrate+Nitrite as Nitrogen",2019-11-04 09:30:00,"NO3NO2N","T",0.891,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Nitrogen",2019-11-04 09:30:00,"7727-37-9","T",0.89,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Nitrogen, ammonia (As N)",2019-11-04 09:30:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","NITROGEN, KJELDAHL, TOTAL",2019-11-04 09:30:00,"KN","T",NA,"mg/l",0.1,"mg/l",0.1,"U","R","Analyte was analyzed for but not detected ; Precision error"
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","NITROGEN, NITRATE (AS N)",2019-11-04 09:30:00,"14797-55-8","T",0.891,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","NITROGEN, NITRITE",2019-11-04 09:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Orthophosphate as Phosphorus, Dissolved",2019-11-04 09:30:00,"PDORTHO","D",0.0135,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","PHOSPHORUS, TOTAL (AS P)",2019-11-04 09:30:00,"7723-14-0","T",0.0208,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Bromodichloromethane",2019-06-20 16:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Bromoform",2019-06-20 16:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Chloroform",2019-06-20 16:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Chlorophyll A",2019-06-20 16:00:00,"479-61-8","T",1.93,"ug/l",NA,"ug/l",0.16,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Dibromochloromethane",2019-06-20 16:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Nitrate+Nitrite as Nitrogen",2019-06-20 16:00:00,"NO3NO2N","T",0.332,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Nitrogen",2019-06-20 16:00:00,"KN","T",0.33,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Nitrogen, ammonia (As N)",2019-06-20 16:00:00,"7664-41-7","T",0.0788,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-20 16:00:00,"KN","T",0.38,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","NITROGEN, NITRATE (AS N)",2019-06-20 16:00:00,"14797-55-8","T",0.302,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","NITROGEN, NITRITE",2019-06-20 16:00:00,"14797-65-0","T",0.03,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-20 16:00:00,"PDORTHO","D",0.0075,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-20 16:00:00,"7723-14-0","T",0.0267,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06202019-W","TURBIDITY",2019-06-20 16:00:00,"TURB","T",9.34,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Bromodichloromethane",2019-06-25 15:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Bromoform",2019-06-25 15:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Chloroform",2019-06-25 15:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Chlorophyll A",2019-06-25 15:00:00,"479-61-8","T",1.23,"ug/l",NA,"ug/l",0.071,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Dibromochloromethane",2019-06-25 15:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Nitrate+Nitrite as Nitrogen",2019-06-25 15:00:00,"NO3NO2N","T",0.165,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Nitrogen",2019-06-25 15:00:00,"KN","T",0.17,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Nitrogen, ammonia (As N)",2019-06-25 15:00:00,"7664-41-7","T",0.0597,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","NITROGEN, KJELDAHL, TOTAL",2019-06-25 15:00:00,"KN","T",0.4,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
