"SiteID","DEC_sample_type","sys_sample_code","data_provider","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment.x","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment.y","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","result_value","result_error_delta","result_type_code","reportable_result","detect_flag","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E200.7","08/05/2019 15:11:00","T",NA,"initial","WS","LB",NA,NA,1,"SW3010A","08/02/2019 00:00:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-70-2","Calcium",192000,NA,"TRG","Yes","Y","",NA,"",NA,110,NA,1000,"ug/l","ug/l",NA,110,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E200.8","07/30/2019 13:24:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","07/29/2019 00:00:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-02-0","Nickel",2.2,NA,"TRG","Yes","Y","",NA,"",NA,0.26,NA,1,"ug/l","ug/l",NA,0.26,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E200.8","07/30/2019 13:24:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","07/29/2019 00:00:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-22-4","Silver",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.15,0.15,1,"ug/l","ug/l",NA,0.15,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E365.1","07/30/2019 21:29:00","T",NA,"initial","WS","LB",NA,NA,1,"METHOD","07/29/2019 15:27:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,20,"mL",NA,NA,NA,NA,20,"mL","7723-14-0","PHOSPHORUS, TOTAL (AS P)",0.0955,NA,"TRG","Yes","Y","",NA,"",NA,0.0036,NA,0.005,"mg/l","mg/l",NA,0.0036,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E180.1","07/23/2019 19:30:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1906883-004",NA,NA,"",NA,NA,NA,NA,NA,"","TURB","TURBIDITY",8.92,NA,"TRG","Yes","Y","",NA,"",NA,0.06,NA,0.1,"ntu","ntu",NA,0.06,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E200.8","07/30/2019 13:24:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","07/29/2019 00:00:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-43-9","Cadmium",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.38,0.38,1,"ug/l","ug/l",NA,0.38,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E200.8","07/30/2019 13:24:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","07/29/2019 00:00:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7440-50-8","Copper",1.1,NA,"TRG","Yes","Y","",NA,"",NA,0.66,NA,1,"ug/l","ug/l",NA,0.66,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E200.8","07/30/2019 13:24:00","T",NA,"initial","WS","LB",NA,NA,1,"E200.0","07/29/2019 00:00:00",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7439-92-1","Lead",NA,NA,"TRG","Yes","N","U",NA,"U",NA,0.57,0.57,1,"ug/l","ug/l",NA,0.57,NA,NA,NA,NA,"not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"SM 2320 B","07/25/2019 20:27:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1906883-004",NA,0,"mL",NA,NA,NA,NA,NA,"","ALK","ALKALINITY, TOTAL (AS CaCO3)",213,NA,"TRG","Yes","Y","",NA,"",NA,1.8,NA,2,"mg/l","mg/l",NA,1.8,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
"04-BLAK-14.7","N","04-BLAK-14.7-07232019-W","ALSRNY","04-BLAK-14.7-07232019-W","WS","N","Field","","R1906883","07/23/2019 15:15:00","04-BLAK-14.7",NA,NA,NA,NA,NA,"07/23/2019","072219CO1W","NYSDEC",NA,NA,"SC",NA,"n",NA,NA,NA,NA,NA,NA,"E350.1","07/25/2019 13:42:00","T",NA,"initial","WS","LB",NA,NA,1,"","",NA,NA,"ALSRNY","quant","R1906883-004",NA,10,"mL",NA,NA,NA,NA,10,"mL","7664-41-7","Nitrogen, ammonia (As N)",0.034,NA,"TRG","Yes","Y","",NA,"",NA,0.003,NA,0.01,"mg/l","mg/l",NA,0.003,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","R1906883"
