"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date"
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","ALKALINITY, TOTAL (AS CaCO3)",2019-07-25 12:30:00,"ALK","T",77.6,"mg/l",1.8,"mg/l",2,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Aluminum",2019-07-25 12:30:00,"7429-90-5","T",120,"ug/l",2.3,"ug/l",10,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Arsenic",2019-07-25 12:30:00,"7440-38-2","T",1.3,"ug/l",0.32,"ug/l",1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Cadmium",2019-07-25 12:30:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Calcium",2019-07-25 12:30:00,"7440-70-2","T",24400,"ug/l",110,"ug/l",1000,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","CHLORIDE (AS CL)",2019-07-25 12:30:00,"16887-00-6","T",14.9,"mg/l",0.5,"mg/l",2,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Chlorophyll A",2019-07-25 12:30:00,"479-61-8","T",2.37,"ug/l",NA,"ug/l",0.16,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Copper",2019-07-25 12:30:00,"7440-50-8","T",1,"ug/l",0.66,"ug/l",1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","HARDNESS (AS CACO3)",2019-07-25 12:30:00,"HARD","T",79.8,"mg/l",NA,"mg/l",6.62,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Iron",2019-07-25 12:30:00,"7439-89-6","T",359,"ug/l",13,"ug/l",100,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Lead",2019-07-25 12:30:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Magnesium",2019-07-25 12:30:00,"7439-95-4","T",4580,"ug/l",68,"ug/l",1000,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Nickel",2019-07-25 12:30:00,"7440-02-0","T",0.8,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Nitrate+Nitrite as Nitrogen",2019-07-25 12:30:00,"NO3NO2N","T",0.191,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Nitrogen",2019-07-25 12:30:00,"KN","T",0.19,"mg/l",NA,"mg/l",0.1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Nitrogen, ammonia (As N)",2019-07-25 12:30:00,"7664-41-7","T",NA,"mg/l",0.013,"mg/l",0.05,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","NITROGEN, KJELDAHL, TOTAL",2019-07-25 12:30:00,"KN","T",0.26,"mg/l",0.1,"mg/l",0.1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","NITROGEN, NITRATE (AS N)",2019-07-25 12:30:00,"14797-55-8","T",0.191,"mg/l",NA,"mg/l",0.01,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","NITROGEN, NITRITE",2019-07-25 12:30:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","PHOSPHORUS, TOTAL (AS P)",2019-07-25 12:30:00,"7723-14-0","T",0.0169,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Silver",2019-07-25 12:30:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","TURBIDITY",2019-07-25 12:30:00,"TURB","T",3.99,"ntu",0.06,"ntu",0.1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-1.1","04-ANGL-1.1-072519-W","Zinc",2019-07-25 12:30:00,"7440-66-6","T",NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","ALKALINITY, TOTAL (AS CaCO3)",2019-07-25 08:15:00,"ALK","T",54,"mg/l",1.8,"mg/l",2,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Aluminum",2019-07-25 08:15:00,"7429-90-5","T",111,"ug/l",2.3,"ug/l",10,"","R","Accuracy error",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Arsenic",2019-07-25 08:15:00,"7440-38-2","T",0.66,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Cadmium",2019-07-25 08:15:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Calcium",2019-07-25 08:15:00,"7440-70-2","T",15600,"ug/l",110,"ug/l",1000,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","CHLORIDE (AS CL)",2019-07-25 08:15:00,"16887-00-6","T",4.9,"mg/l",0.5,"mg/l",2,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Chlorophyll A",2019-07-25 08:15:00,"479-61-8","T",0.424,"ug/l",NA,"ug/l",0.042,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Copper",2019-07-25 08:15:00,"7440-50-8","T",0.72,"ug/l",0.66,"ug/l",1,"J","J","estimated value due to lab error",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","HARDNESS (AS CACO3)",2019-07-25 08:15:00,"HARD","T",52.1,"mg/l",NA,"mg/l",6.62,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Iron",2019-07-25 08:15:00,"7439-89-6","T",226,"ug/l",13,"ug/l",100,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Lead",2019-07-25 08:15:00,"7439-92-1","T",NA,"ug/l",0.57,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Magnesium",2019-07-25 08:15:00,"7439-95-4","T",3160,"ug/l",68,"ug/l",1000,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Nickel",2019-07-25 08:15:00,"7440-02-0","T",0.68,"ug/l",0.26,"ug/l",1,"J","J","estimated value due to lab error",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Nitrate+Nitrite as Nitrogen",2019-07-25 08:15:00,"NO3NO2N","T",0.156,"mg/l",0.0015,"mg/l",0.002,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Nitrogen",2019-07-25 08:15:00,"KN","T",0.16,"mg/l",NA,"mg/l",0.1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Nitrogen, ammonia (As N)",2019-07-25 08:15:00,"7664-41-7","T",NA,"mg/l",0.003,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","NITROGEN, KJELDAHL, TOTAL",2019-07-25 08:15:00,"KN","T",0.16,"mg/l",0.1,"mg/l",0.1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","NITROGEN, NITRATE (AS N)",2019-07-25 08:15:00,"14797-55-8","T",0.156,"mg/l",NA,"mg/l",0.01,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","NITROGEN, NITRITE",2019-07-25 08:15:00,"14797-65-0","T",NA,"mg/l",0.007,"mg/l",0.01,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","PHOSPHORUS, TOTAL (AS P)",2019-07-25 08:15:00,"7723-14-0","T",0.0143,"mg/l",0.0036,"mg/l",0.005,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Silver",2019-07-25 08:15:00,"7440-22-4","T",NA,"ug/l",0.15,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","TURBIDITY",2019-07-25 08:15:00,"TURB","T",6.27,"ntu",0.06,"ntu",0.1,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.5","04-ANGL-12.5-072519-W","Zinc",2019-07-25 08:15:00,"7440-66-6","T",NA,"ug/l",2.5,"ug/l",5,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","ALKALINITY, TOTAL (AS CaCO3)",2019-07-25 09:00:00,"ALK","T",37.6,"mg/l",1.8,"mg/l",2,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","Aluminum",2019-07-25 09:00:00,"7429-90-5","T",73.7,"ug/l",2.3,"ug/l",10,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","Arsenic",2019-07-25 09:00:00,"7440-38-2","T",0.57,"ug/l",0.32,"ug/l",1,"J","J","estimated value due to lab error",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","Cadmium",2019-07-25 09:00:00,"7440-43-9","T",NA,"ug/l",0.38,"ug/l",1,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","Calcium",2019-07-25 09:00:00,"7440-70-2","T",10800,"ug/l",110,"ug/l",1000,"","A","",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","CHLORIDE (AS CL)",2019-07-25 09:00:00,"16887-00-6","T",NA,"mg/l",0.5,"mg/l",2,"U","U","Analyte was analyzed for but not detected",2020-02-03
"RIBS Screening 2019","04-ANGL-12.9","04-ANGL-12.9-072519-W","Chlorophyll A",2019-07-25 09:00:00,"479-61-8","T",0.355,"ug/l",NA,"ug/l",0.043,"","A","",2020-02-03
