"EVENT_ID","SiteID","sys_sample_code","chemical_name","sample_date","fraction","result_value","result_unit","validator_qualifiers","interpreted_qualifiers"
"12-OTSQ-0.2_2019-11-04","12-OTSQ-0.2","02-OTSQ-0.2-11042019-W","Chlorophyll A",2019-11-04 09:30:00,"T",0.507,"ug/l","A",NA
"09-HAMM-1.9_2019-07-23","09-HAMM-1.9","09-HAMM-1.9-07232019-W","Chlorophyll A",2019-07-23 12:45:00,"T",17.5,"ug/l","A",NA
"10-HALF-0.1_2019-07-01","10-HALF-0.1","10-HALF-0.1-07012019-W","Chlorophyll A",2019-07-01 09:45:00,"T",1.15,"ug/l","A",NA
"10-HALF-0.2_2019-07-01","10-HALF-0.2","10-HALF-0.2-07012019-W","Chlorophyll A",2019-07-01 10:30:00,"T",0.999,"ug/l","A",NA
"10-HALF-0.3_2019-07-01","10-HALF-0.3","10-HALF-0.3-07012019-W","Chlorophyll A",2019-07-01 11:00:00,"T",1.27,"ug/l","A",NA
"10-HALF-1.4_2019-07-01","10-HALF-1.4","10-HALF-1.4-07012019-W","Chlorophyll A",2019-07-01 12:00:00,"T",1.16,"ug/l","A",NA
"10-HALF_T1-0.1_2019-07-01","10-HALF_T1-0.1","10-HALF_T1-0.1-07012019-W","Chlorophyll A",2019-07-01 11:30:00,"T",1.62,"ug/l","A",NA
"11-UHUD-2.7_2019-07-11","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Chlorophyll A",2019-07-11 16:00:00,"T",5.49,"ug/l","A",NA
"11-UHUD-2.7_2019-10-29","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Chlorophyll A",2019-10-29 14:30:00,"T",0.935,"ug/l","A",NA
"12-CANW-72.3_2019-05-07","12-CANW-72.3","12-CANW-72.3-05072019-W","Chlorophyll A",2019-05-07 12:00:00,"T",0.743,"ug/l","A",NA
"12-CANW-72.3_2019-05-14","12-CANW-72.3","12-CANW-72.3-05142019-W","Chlorophyll A",2019-05-14 11:00:00,"T",0.406,"ug/l","A",NA
"12-CANW-72.3_2019-05-21","12-CANW-72.3","12-CANW-72.3-05212019-W","Chlorophyll A",2019-05-21 09:00:00,"T",0.61,"ug/l","A",NA
"12-CANW-72.3_2019-06-05","12-CANW-72.3","12-CANW-72.3-06052019-W","Chlorophyll A",2019-06-05 10:30:00,"T",1.08,"ug/l","A",NA
"12-CANW-72.3_2019-06-18","12-CANW-72.3","12-CANW-72.3-06182019-W","Chlorophyll A",2019-06-18 08:30:00,"T",0.978,"ug/l","A",NA
"12-CANW-72.3_2019-07-02","12-CANW-72.3","12-CANW-72.3-07022019-W","Chlorophyll A",2019-07-02 11:00:00,"T",0.77,"ug/l","A",NA
"12-CANW-72.3_2019-07-17","12-CANW-72.3","12-CANW-72.3-07172019-W","Chlorophyll A",2019-07-17 11:00:00,"T",0.781,"ug/l","A",NA
"12-CANW-72.3_2019-07-30","12-CANW-72.3","12-CANW-72.3-07302019-W","Chlorophyll A",2019-07-30 09:00:00,"T",0.585,"ug/l","A",NA
"12-CANW-72.3_2019-08-12","12-CANW-72.3","12-CANW-72.3-08122019-W","Chlorophyll A",2019-08-12 11:00:00,"T",0.591,"ug/l","A",NA
"12-CANW-72.3_2019-08-26","12-CANW-72.3","12-CANW-72.3-08262019-W","Chlorophyll A",2019-08-26 09:30:00,"T",0.282,"ug/l","R","Equipment Blank error"
"12-CANW-72.3_2019-09-09","12-CANW-72.3","12-CANW-72.3-09092019-W","Chlorophyll A",2019-09-09 09:00:00,"T",0.458,"ug/l","A",NA
"12-CANW-72.3_2019-09-24","12-CANW-72.3","12-CANW-72.3-09242019-W","Chlorophyll A",2019-09-24 09:00:00,"T",0.873,"ug/l","A",NA
"12-CANW-72.3_2019-10-10","12-CANW-72.3","12-CANW-72.3-10102019-WS","Chlorophyll A",2019-10-10 12:00:00,"T",0.472,"ug/l","A",NA
"12-CANW-72.3_2019-10-22","12-CANW-72.3","12-CANW-72.3-10222019-W","Chlorophyll A",2019-10-22 11:00:00,"T",0.47,"ug/l","A",NA
"12-CANW-72.3_2019-11-06","12-CANW-72.3","12-CANW-72.3-11062019-W","Chlorophyll A",2019-11-06 09:00:00,"T",0.286,"ug/l","A",NA
"12-CANW-72.3_2019-11-12","12-CANW-72.3","12-CANW-72.3-11122019-W","Chlorophyll A",2019-11-12 10:00:00,"T",0.136,"ug/l","A",NA
"12-CANW-72.3_2019-11-18","12-CANW-72.3","12-CANW-72.3-11182019-W","Chlorophyll A",2019-11-18 11:00:00,"T",0.147,"ug/l","A",NA
